,Date,Start (ET),Visitor,Visitor Points,Home,Home Points,OT,Arena,Visitor Miles,Home Miles
0,2011-12-25,12:00p,Boston Celtics,104,New York Knicks,106,None,Madison Square Garden (IV),0.0,0.0
1,2011-12-25,2:30p,Miami Heat,105,Dallas Mavericks,94,None,American Airlines Center,0.0,0.0
2,2011-12-25,5:00p,Chicago Bulls,88,Los Angeles Lakers,87,None,STAPLES Center,0.0,0.0
3,2011-12-25,8:00p,Orlando Magic,89,Oklahoma City Thunder,97,None,Chesapeake Energy Arena,0.0,0.0
4,2011-12-25,10:30p,Los Angeles Clippers,105,Golden State Warriors,86,None,Oracle Arena,0.0,0.0
5,2011-12-26,7:00p,Toronto Raptors,104,Cleveland Cavaliers,96,None,Quicken Loans Arena,0.0,0.0
6,2011-12-26,7:00p,New Jersey Nets,90,Washington Wizards,84,None,Verizon Center,0.0,0.0
7,2011-12-26,7:00p,Houston Rockets,95,Orlando Magic,104,None,Amway Center,0.0,1701.798418398534
8,2011-12-26,7:00p,Detroit Pistons,79,Indiana Pacers,91,None,Bankers Life Fieldhouse,0.0,0.0
9,2011-12-26,7:00p,Milwaukee Bucks,95,Charlotte Bobcats,96,None,Time Warner Cable Arena,0.0,0.0
10,2011-12-26,8:00p,Oklahoma City Thunder,104,Minnesota Timberwolves,100,None,Target Center,1117.3383427562503,0.0
11,2011-12-26,8:30p,Denver Nuggets,115,Dallas Mavericks,93,None,American Airlines Center,0.0,0.0
12,2011-12-26,8:30p,Memphis Grizzlies,82,San Antonio Spurs,95,None,AT&T Center,0.0,0.0
13,2011-12-26,9:00p,New Orleans Hornets,85,Phoenix Suns,84,None,US Airways Center,0.0,0.0
14,2011-12-26,10:00p,Philadelphia 76ers,103,Portland Trail Blazers,107,None,Rose Garden Arena,0.0,0.0
15,2011-12-26,10:00p,Los Angeles Lakers,91,Sacramento Kings,100,None,Power Balance Pavilion,581.6399730428296,0.0
16,2011-12-26,10:30p,Chicago Bulls,91,Golden State Warriors,99,None,Oracle Arena,543.5789904134948,0.0
17,2011-12-27,7:30p,Atlanta Hawks,106,New Jersey Nets,70,None,Prudential Center,0.0,3695.824872344601
18,2011-12-27,8:00p,Boston Celtics,107,Miami Heat,115,None,AmericanAirlines Arena,1760.1289875089205,1787.708530065366
19,2011-12-27,8:30p,Minnesota Timberwolves,95,Milwaukee Bucks,98,None,Bradley Center,479.40292058392754,2804.1218559883964
20,2011-12-27,10:00p,Sacramento Kings,79,Portland Trail Blazers,101,None,Rose Garden Arena,778.9831019202021,0.0
21,2011-12-27,10:30p,Utah Jazz,71,Los Angeles Lakers,96,None,STAPLES Center,0.0,581.6399730428296
