,Date,Start (ET),Visitor,Visitor Points,Home,Home Points,OT,Arena,Year,Latitude,Longitude
0,2011-12-25,12:00p,Boston Celtics,104,New York Knicks,106,None,Madison Square Garden (IV),2012,40.751° N,73.993° W
1,2011-12-25,2:30p,Miami Heat,105,Dallas Mavericks,94,None,American Airlines Center,2012,32.791° N,96.81° W
2,2011-12-25,5:00p,Chicago Bulls,88,Los Angeles Lakers,87,None,STAPLES Center,2012,34.043° N,118.267° W
3,2011-12-25,8:00p,Orlando Magic,89,Oklahoma City Thunder,97,None,Chesapeake Energy Arena,2012,35.463° N,97.515° W
4,2011-12-25,10:30p,Los Angeles Clippers,105,Golden State Warriors,86,None,Oracle Arena,2012,37.75° N,122.203° W
5,2011-12-26,7:00p,Toronto Raptors,104,Cleveland Cavaliers,96,None,Quicken Loans Arena,2012,41.497° N,81.688° W
6,2011-12-26,7:00p,New Jersey Nets,90,Washington Wizards,84,None,Verizon Center,2012,38.898° N,77.021° W
7,2011-12-26,7:00p,Houston Rockets,95,Orlando Magic,104,None,Amway Center,2012,28.539° N,81.384° W
8,2011-12-26,7:00p,Detroit Pistons,79,Indiana Pacers,91,None,Bankers Life Fieldhouse,2012,39.764° N,86.156° W
9,2011-12-26,7:00p,Milwaukee Bucks,95,Charlotte Bobcats,96,None,Time Warner Cable Arena,2012,34.043° N,118.267° W
10,2011-12-26,8:00p,Oklahoma City Thunder,104,Minnesota Timberwolves,100,None,Target Center,2012,44.98° N,93.276° W
11,2011-12-26,8:30p,Denver Nuggets,115,Dallas Mavericks,93,None,American Airlines Center,2012,32.791° N,96.81° W
12,2011-12-26,8:30p,Memphis Grizzlies,82,San Antonio Spurs,95,None,AT&T Center,2012,29.427° N,98.438° W
13,2011-12-26,9:00p,New Orleans Hornets,85,Phoenix Suns,84,None,US Airways Center,2012,33.446° N,112.071° W
14,2011-12-26,10:00p,Philadelphia 76ers,103,Portland Trail Blazers,107,None,Rose Garden Arena,2012,45.532° N,122.667° W
15,2011-12-26,10:00p,Los Angeles Lakers,91,Sacramento Kings,100,None,Power Balance Pavilion,2012,38.58° N,121.5° W
16,2011-12-26,10:30p,Chicago Bulls,91,Golden State Warriors,99,None,Oracle Arena,2012,37.75° N,122.203° W
17,2011-12-27,7:30p,Atlanta Hawks,106,New Jersey Nets,70,None,Prudential Center,2012,34.043° N,118.267° W
18,2011-12-27,8:00p,Boston Celtics,107,Miami Heat,115,None,AmericanAirlines Arena,2012,25.781° N,80.187° W
19,2011-12-27,8:30p,Minnesota Timberwolves,95,Milwaukee Bucks,98,None,Bradley Center,2012,43.045° N,87.917° W
20,2011-12-27,10:00p,Sacramento Kings,79,Portland Trail Blazers,101,None,Rose Garden Arena,2012,45.532° N,122.667° W
21,2011-12-27,10:30p,Utah Jazz,71,Los Angeles Lakers,96,None,STAPLES Center,2012,34.043° N,118.267° W
22,2011-12-28,6:00p,Indiana Pacers,90,Toronto Raptors,85,None,Air Canada Centre,2012,43.644° N,79.379° W
23,2011-12-28,7:00p,Miami Heat,96,Charlotte Bobcats,95,None,Time Warner Cable Arena,2012,34.043° N,118.267° W
24,2011-12-28,7:30p,Washington Wizards,83,Atlanta Hawks,101,None,Philips Arena,2012,33.757° N,84.396° W
25,2011-12-28,7:30p,Cleveland Cavaliers,105,Detroit Pistons,89,None,The Palace of Auburn Hills,2012,42.341° N,83.055° W
26,2011-12-28,8:00p,Boston Celtics,78,New Orleans Hornets,97,None,New Orleans Arena,2012,34.043° N,118.267° W
27,2011-12-28,8:00p,Oklahoma City Thunder,98,Memphis Grizzlies,95,None,FedEx Forum,2012,35.156° N,90.052° W
28,2011-12-28,8:30p,Los Angeles Clippers,90,San Antonio Spurs,115,None,AT&T Center,2012,29.427° N,98.438° W
29,2011-12-28,9:00p,Philadelphia 76ers,103,Phoenix Suns,83,None,US Airways Center,2012,33.446° N,112.071° W
30,2011-12-28,9:00p,Utah Jazz,100,Denver Nuggets,117,None,Pepsi Center,2012,39.749° N,105.008° W
31,2011-12-28,10:30p,New York Knicks,78,Golden State Warriors,92,None,Oracle Arena,2012,37.75° N,122.203° W
32,2011-12-29,7:00p,New Jersey Nets,78,Orlando Magic,94,None,Amway Center,2012,28.539° N,81.384° W
33,2011-12-29,8:00p,San Antonio Spurs,85,Houston Rockets,105,None,Toyota Center,2012,29.751° N,95.362° W
34,2011-12-29,8:00p,Dallas Mavericks,102,Oklahoma City Thunder,104,None,Chesapeake Energy Arena,2012,35.463° N,97.515° W
35,2011-12-29,10:00p,Denver Nuggets,102,Portland Trail Blazers,111,None,Rose Garden Arena,2012,45.532° N,122.667° W
36,2011-12-29,10:00p,Chicago Bulls,108,Sacramento Kings,98,None,Power Balance Pavilion,2012,38.58° N,121.5° W
37,2011-12-29,10:30p,New York Knicks,82,Los Angeles Lakers,99,None,STAPLES Center,2012,34.043° N,118.267° W
38,2011-12-30,7:00p,Orlando Magic,100,Charlotte Bobcats,79,None,Time Warner Cable Arena,2012,34.043° N,118.267° W
39,2011-12-30,7:00p,Cleveland Cavaliers,91,Indiana Pacers,98,OT,Bankers Life Fieldhouse,2012,39.764° N,86.156° W
40,2011-12-30,7:30p,New Jersey Nets,98,Atlanta Hawks,105,None,Philips Arena,2012,33.757° N,84.396° W
41,2011-12-30,7:30p,Detroit Pistons,85,Boston Celtics,96,None,TD Garden,2012,42.366° N,71.062° W
42,2011-12-30,8:00p,Phoenix Suns,93,New Orleans Hornets,78,None,New Orleans Arena,2012,34.043° N,118.267° W
43,2011-12-30,8:00p,Houston Rockets,93,Memphis Grizzlies,113,None,FedEx Forum,2012,35.156° N,90.052° W
44,2011-12-30,8:00p,Miami Heat,103,Minnesota Timberwolves,101,None,Target Center,2012,44.98° N,93.276° W
45,2011-12-30,8:30p,Toronto Raptors,86,Dallas Mavericks,99,None,American Airlines Center,2012,32.791° N,96.81° W
46,2011-12-30,8:30p,Washington Wizards,81,Milwaukee Bucks,102,None,Bradley Center,2012,43.045° N,87.917° W
47,2011-12-30,9:00p,Philadelphia 76ers,99,Utah Jazz,102,None,EnergySolutions Arena,2012,40.768° N,111.901° W
48,2011-12-30,10:30p,Chicago Bulls,114,Los Angeles Clippers,101,None,STAPLES Center,2012,34.043° N,118.267° W
49,2011-12-31,3:30p,Denver Nuggets,89,Los Angeles Lakers,92,None,STAPLES Center,2012,34.043° N,118.267° W
50,2011-12-31,6:00p,Indiana Pacers,88,Detroit Pistons,96,None,The Palace of Auburn Hills,2012,42.341° N,83.055° W
51,2011-12-31,7:00p,Atlanta Hawks,84,Houston Rockets,95,None,Toyota Center,2012,29.751° N,95.362° W
52,2011-12-31,8:00p,Phoenix Suns,97,Oklahoma City Thunder,107,None,Chesapeake Energy Arena,2012,35.463° N,97.515° W
53,2011-12-31,8:00p,New York Knicks,114,Sacramento Kings,92,None,Power Balance Pavilion,2012,38.58° N,121.5° W
54,2011-12-31,8:30p,Utah Jazz,89,San Antonio Spurs,104,None,AT&T Center,2012,29.427° N,98.438° W
55,2011-12-31,9:00p,Philadelphia 76ers,107,Golden State Warriors,79,None,Oracle Arena,2012,37.75° N,122.203° W
56,2012-01-01,6:00p,New Jersey Nets,82,Cleveland Cavaliers,98,None,Quicken Loans Arena,2012,41.497° N,81.688° W
57,2012-01-01,6:00p,Charlotte Bobcats,90,Miami Heat,129,None,AmericanAirlines Arena,2012,25.781° N,80.187° W
58,2012-01-01,6:00p,Toronto Raptors,96,Orlando Magic,102,None,Amway Center,2012,28.539° N,81.384° W
59,2012-01-01,6:00p,Boston Celtics,94,Washington Wizards,86,None,Verizon Center,2012,38.898° N,77.021° W
60,2012-01-01,7:00p,Dallas Mavericks,82,Minnesota Timberwolves,99,None,Target Center,2012,44.98° N,93.276° W
61,2012-01-01,8:00p,Memphis Grizzlies,64,Chicago Bulls,104,None,United Center,2012,41.881° N,87.675° W
62,2012-01-01,8:00p,Los Angeles Lakers,90,Denver Nuggets,99,None,Pepsi Center,2012,39.749° N,105.008° W
63,2012-01-01,9:00p,New Orleans Hornets,80,Sacramento Kings,96,None,Power Balance Pavilion,2012,38.58° N,121.5° W
64,2012-01-01,9:30p,Portland Trail Blazers,88,Los Angeles Clippers,93,None,STAPLES Center,2012,34.043° N,118.267° W
65,2012-01-02,3:30p,Golden State Warriors,91,Phoenix Suns,102,None,US Airways Center,2012,33.446° N,112.071° W
66,2012-01-02,7:30p,Washington Wizards,92,Boston Celtics,100,None,TD Garden,2012,42.366° N,71.062° W
67,2012-01-02,7:30p,Orlando Magic,78,Detroit Pistons,89,None,The Palace of Auburn Hills,2012,42.341° N,83.055° W
68,2012-01-02,7:30p,Atlanta Hawks,100,Miami Heat,92,None,AmericanAirlines Arena,2012,25.781° N,80.187° W
69,2012-01-02,7:30p,Indiana Pacers,108,New Jersey Nets,94,None,Prudential Center,2012,34.043° N,118.267° W
70,2012-01-02,7:30p,Toronto Raptors,90,New York Knicks,85,None,Madison Square Garden (IV),2012,40.751° N,73.993° W
71,2012-01-02,8:00p,San Antonio Spurs,96,Minnesota Timberwolves,106,None,Target Center,2012,44.98° N,93.276° W
72,2012-01-02,8:30p,Oklahoma City Thunder,87,Dallas Mavericks,100,None,American Airlines Center,2012,32.791° N,96.81° W
73,2012-01-02,9:00p,Milwaukee Bucks,86,Denver Nuggets,91,None,Pepsi Center,2012,39.749° N,105.008° W
74,2012-01-02,9:00p,New Orleans Hornets,90,Utah Jazz,94,None,EnergySolutions Arena,2012,40.768° N,111.901° W
75,2012-01-03,7:00p,Charlotte Bobcats,101,Cleveland Cavaliers,115,None,Quicken Loans Arena,2012,41.497° N,81.688° W
