Home Team,Arena,Latitude,Longitude
Atlanta Hawks,State Farm Arena,33.757° N,84.396° W
Boston Celtics,TD Garden,42.366° N,71.062° W
Brooklyn Nets,Barclays Center,40.683° N,73.975° W
Charlotte Hornets,Spectrum Center,35.225° N,80.839° W
Chicago Bulls,United Center,41.881° N,87.675° W
Cleveland Cavaliers,Quicken Loans Arena,41.497° N,81.688° W
Dallas Mavericks,American Airlines Center,32.791° N,96.81° W
Denver Nuggets,Pepsi Center,39.749° N,105.008° W
Detroit Pistons,Little Caesars Arena,42.341° N,83.055° W
Golden State Warriors,Oracle Arena,37.75° N,122.203° W
Houston Rockets,Toyota Center,29.751° N,95.362° W
Indiana Pacers,Bankers Life Fieldhouse,39.764° N,86.156° W
Los Angeles Clippers,Staples Center,34.043° N,118.267° W
Los Angeles Clippers,Staples Center,34.043° N,118.267° W
Memphis Grizzlies,FedExForum,35.156° N,90.052° W
Miami Heat,American Airlines Arena,25.781° N,80.187° W
Milwaukee Bucks,Fiserv Forum,43.045° N,87.917° W
Minnesota Timberwolves,Target Center,44.98° N,93.276° W
New Orleans Pelicans,Smoothie King Center,29.949° N,90.082° W
New York Knicks,Madison Square Garden,40.751° N,73.993° W
Oklahoma City Thunder,Chesapeake Energy Arena,35.463° N,97.515° W
Orlando Magic,Amway Center,28.539° N,81.384° W
Philadelphia 76ers,Wells Fargo Center,39.901° N,75.172° W
Phoenix Suns,Talking Stick Resort Arena,33.446° N,112.071° W
Portland Trail Blazers,Moda Center,45.532° N,122.667° W
Sacramento Kings,Golden 1 Center,38.58° N,121.5° W
San Antonio Spurs,AT&T Center,29.427° N,98.438° W
Toronto Raptors,Scotiabank Arena,43.644° N,79.379° W
Utah Jazz,Vivint Smart Home Arena,40.768° N,111.901° W
Washington Wizards,Capital One Arena,38.898° N,77.021° W
